outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
6.300000000000000000e+01,5.091054781193891898e+01,5.572222222222221744e-01,2.849999999999999756e-01,4.359722222222222054e-01
6.400000000000000000e+01,5.068296704696285815e+01,5.545833333333333171e-01,2.861805555555555491e-01,4.313888888888888773e-01
6.500000000000000000e+01,5.048083810741785982e+01,5.519444444444444597e-01,2.856944444444444176e-01,4.224305555555555314e-01
6.600000000000000000e+01,5.033156909030245174e+01,5.486805555555555047e-01,2.848611111111111205e-01,4.147916666666666696e-01
6.700000000000000000e+01,5.012976438974665427e+01,5.452083333333332948e-01,2.849999999999999756e-01,4.045833333333333504e-01
6.800000000000000000e+01,4.997848804324229377e+01,5.410416666666666430e-01,2.849305555555555758e-01,4.000000000000000222e-01
6.900000000000000000e+01,4.977650888877782620e+01,5.381944444444444198e-01,2.840972222222222232e-01,3.964583333333333570e-01
7.000000000000000000e+01,4.952838032716412897e+01,5.339583333333333126e-01,2.820138888888888973e-01,3.918055555555555736e-01
7.100000000000000000e+01,4.933507433019171629e+01,5.306250000000000133e-01,2.794444444444444398e-01,3.889583333333333504e-01
7.200000000000000000e+01,4.912514109471860024e+01,5.274305555555555136e-01,2.780555555555555558e-01,3.859027777777777612e-01
7.300000000000000000e+01,4.890736878627019735e+01,5.242361111111111249e-01,2.766666666666666718e-01,3.826388888888888618e-01
7.400000000000000000e+01,4.868883827194261471e+01,5.220138888888888884e-01,2.752777777777777879e-01,3.812499999999999778e-01
7.500000000000000000e+01,4.843903769228840872e+01,5.198611111111111072e-01,2.736111111111111382e-01,3.789583333333333415e-01
7.600000000000000000e+01,4.828894298854410749e+01,5.184027777777777679e-01,2.734027777777777724e-01,3.773611111111110916e-01
7.700000000000000000e+01,4.813573129276777252e+01,5.166666666666667185e-01,2.727083333333333304e-01,3.756944444444444420e-01
7.800000000000000000e+01,4.792605106637495282e+01,5.142361111111111160e-01,2.729166666666666408e-01,3.740277777777777923e-01
7.900000000000000000e+01,4.773730064925925376e+01,5.123611111111111560e-01,2.727777777777777857e-01,3.725694444444444531e-01
8.000000000000000000e+01,4.752323297318998385e+01,5.097222222222221877e-01,2.722222222222221988e-01,3.698611111111110850e-01
8.100000000000000000e+01,4.732085474599182362e+01,5.077777777777777724e-01,2.715972222222222121e-01,3.679861111111111249e-01
8.200000000000000000e+01,4.712552600178295847e+01,5.056249999999999911e-01,2.708333333333333148e-01,3.663194444444444198e-01
8.300000000000000000e+01,4.698642072034623141e+01,5.042361111111111072e-01,2.704861111111110938e-01,3.653472222222222121e-01
8.400000000000000000e+01,4.694320034694572996e+01,5.036805555555555758e-01,2.704166666666666941e-01,3.650694444444444464e-01
8.500000000000000000e+01,4.682276537810191286e+01,5.022222222222222365e-01,2.705555555555555491e-01,3.635416666666666519e-01
8.600000000000000000e+01,4.663320854533508708e+01,5.003472222222222765e-01,2.699305555555555625e-01,3.616666666666666918e-01
8.700000000000000000e+01,4.656051497023572239e+01,4.996527777777777790e-01,2.699305555555555625e-01,3.610416666666666496e-01
8.800000000000000000e+01,4.644027867874333282e+01,4.986805555555555713e-01,2.699305555555555625e-01,3.603472222222222077e-01
8.900000000000000000e+01,4.625389014299710766e+01,4.977083333333333082e-01,2.693055555555555758e-01,3.595138888888889106e-01
9.000000000000000000e+01,4.613149023005846061e+01,4.962500000000000244e-01,2.686111111111111338e-01,3.584722222222222476e-01
9.100000000000000000e+01,4.602771187992937030e+01,4.946527777777777746e-01,2.676388888888888706e-01,3.575694444444444398e-01
9.200000000000000000e+01,4.589904114253169354e+01,4.936805555555555669e-01,2.670138888888888840e-01,3.566666666666666874e-01
9.300000000000000000e+01,4.573901632845116438e+01,4.918750000000000067e-01,2.663194444444444420e-01,3.547222222222222165e-01
9.400000000000000000e+01,4.562626104197967436e+01,4.908333333333333437e-01,2.659027777777777657e-01,3.538888888888888640e-01
9.500000000000000000e+01,4.543877725698344960e+01,4.897222222222222254e-01,2.665277777777777524e-01,3.526388888888888906e-01
9.600000000000000000e+01,4.529087784815960305e+01,4.874999999999999889e-01,2.654166666666666896e-01,3.502083333333333437e-01
9.700000000000000000e+01,4.512548228577586684e+01,4.854166666666666630e-01,2.645833333333333370e-01,3.487500000000000044e-01
