outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,maxAbs,rms,l2,r_rho,r_rho_below_thr,utilPersistCount,beta,betaStallRel,betaStallFires,objRelRange_W10,nInner,innerConv,multN,degen,multJ
88,162.769086264419,172.454150053172,0.0595018624913792,0.499984683221472,31.867586919547,0.350625,0.15578125,0.04,1,87,0,0.039737572885897,0.00547790233619669,0.619753902176369,0.993439322147425,0,0,26563.363783037,0.0356037430279959,0,0.0218777839416751,15,1,2,1,0
89,162.956663677681,172.778157622135,0.0602705880373243,0.499987131158102,31.4679724865247,0.34796875,0.151875,0.04,1,88,0,0.039590955078211,0.00543497682076798,0.614897434489079,0.989773876955276,0,0,26623.8667540883,0.0384828723125608,0,0.0212420798585364,15,1,2,1,0
90,163.134051581683,173.373893711894,0.0627694955831076,0.499988656272605,31.1715575932525,0.34515625,0.15125,0.04,1,89,0,0.0394012557121244,0.00434491055698148,0.4915705149585,0.985031392803111,0,0,26657.9141293447,0.0408512532281749,0,0.0203289501618518,15,1,2,1,0
91,163.26863165909,173.62276597497,0.0634177809335707,0.499989176032113,30.843051169279,0.341875,0.14984375,0.04,1,90,0,0.0386528144850797,0.00479502159408577,0.542494765618237,0.966320362126992,0,0,26709.7122332011,0.0425551522448175,0,0.0188465403393138,15,1,2,1,0
92,163.407451003809,174.151574926683,0.0657505141710063,0.499989719789177,30.5394062777055,0.33984375,0.148125,0.04,1,91,0,0.0395354289110177,0.00467518772031222,0.528937110456455,0.988385722775443,0,0,26749.8957216241,0.0436644840765013,0,0.0168055973306821,15,1,2,1,0
93,163.544502551307,174.666345479592,0.0680049940828536,0.499990893953739,30.2652845721272,0.33671875,0.14671875,0.04,1,92,0,0.0394785229405182,0.00421719439794903,0.477121081019468,0.986963073512956,0,0,26786.8574968846,0.04397703380675,0,0.0150306614906671,15,1,2,1,0
94,163.661789667763,174.951913129446,0.0689844800341118,0.49999054017444,29.9808534657534,0.334375,0.14390625,0.04,1,93,0,0.0392541430908765,0.00443237712296303,0.501466227267725,0.981353577271913,0,0,26827.5600286065,0.0434296667954058,0,0.0128851523504778,15,1,2,1,0
95,163.777287100462,175.428084168611,0.0711380514014912,0.499988978669802,29.7494946206641,0.33234375,0.14234375,0.04,1,94,0,0.0392846104739664,0.00387521946731033,0.438431034227401,0.98211526184916,0,0,26853.6432940234,0.0418090885465717,0,0.0105249215227841,15,1,2,1,0
96,163.882179314934,175.643913007319,0.0717694488903661,0.499990843229134,29.4701014508594,0.32953125,0.1409375,0.04,1,95,0,0.0391681172095971,0.00434184597620524,0.491223797222761,0.979202930239927,0,0,26899.3165635356,0.0393209145628046,0,0.00923622535699308,15,1,2,1,0
97,163.99284219812,176.114298751893,0.0739145464600748,0.499990078390726,29.2461904921832,0.32828125,0.13984375,0.04,1,96,0,0.0387950613298178,0.00371851883289228,0.420702381233283,0.969876533245446,0,0,26921.9219326012,0.0365444743526088,0,0.00748751874114931,15,1,2,1,0
